iteration,attempt,temperature,prompt_type,response,allocation
1,1,1.0,baseline,5€.,5
2,2,1.0,baseline,3€,3
3,3,1.0,baseline,0€,0
4,4,1.0,baseline,0€,0
5,5,1.0,baseline,5€.,5
6,6,1.0,baseline,5€,5
7,7,1.0,baseline,5€.,5
8,8,1.0,baseline,5€,5
9,9,1.0,baseline,0€,0
10,10,1.0,baseline,0€,0
11,11,1.0,baseline,4€,4
12,12,1.0,baseline,3€,3
13,13,1.0,baseline,0€,0
14,14,1.0,baseline,5€,5
15,15,1.0,baseline,5€,5
16,16,1.0,baseline,5€,5
17,17,1.0,baseline,€8.33,8
18,18,1.0,baseline,5€,5
19,19,1.0,baseline,5€,5
20,20,1.0,baseline,0€,0
21,21,1.0,baseline,5€.,5
22,22,1.0,baseline,5€.,5
23,23,1.0,baseline,5€.,5
24,24,1.0,baseline,5€.,5
25,25,1.0,baseline,7€.,7
26,26,1.0,baseline,5€.,5
27,27,1.0,baseline,5€,5
28,28,1.0,baseline,5€,5
29,29,1.0,baseline,0€,0
30,30,1.0,baseline,5€,5
31,31,1.0,baseline,5€,5
32,32,1.0,baseline,€7.50.,7
33,33,1.0,baseline,5€,5
34,34,1.0,baseline,5€,5
35,35,1.0,baseline,0€,0
36,36,1.0,baseline,0€,0
37,37,1.0,baseline,5€.,5
38,38,1.0,baseline,5€,5
39,39,1.0,baseline,5€.,5
40,40,1.0,baseline,5€.,5
41,41,1.0,baseline,5€.,5
42,42,1.0,baseline,4€.,4
43,43,1.0,baseline,5€,5
44,44,1.0,baseline,0€,0
45,45,1.0,baseline,5€,5
46,46,1.0,baseline,5€,5
47,47,1.0,baseline,5€.,5
48,48,1.0,baseline,0€,0
49,49,1.0,baseline,5€,5
50,50,1.0,baseline,5€,5
51,51,1.0,baseline,6€.,6
52,52,1.0,baseline,0€,0
53,53,1.0,baseline,4€,4
54,54,1.0,baseline,5€.,5
55,55,1.0,baseline,6€,6
56,56,1.0,baseline,5€.,5
57,57,1.0,baseline,5€,5
58,58,1.0,baseline,7€.,7
59,59,1.0,baseline,0€,0
60,60,1.0,baseline,€5,5
61,61,1.0,baseline,0€,0
62,62,1.0,baseline,3.00€,3
63,63,1.0,baseline,4€.,4
64,64,1.0,baseline,0€,0
65,65,1.0,baseline,0€,0
66,66,1.0,baseline,5€,5
67,67,1.0,baseline,0€,0
68,68,1.0,baseline,4€,4
69,69,1.0,baseline,0€,0
70,70,1.0,baseline,6€.,6
71,71,1.0,baseline,5€.,5
72,72,1.0,baseline,3€,3
73,73,1.0,baseline,6€,6
74,74,1.0,baseline,5€,5
75,75,1.0,baseline,5€.,5
76,76,1.0,baseline,5€,5
77,77,1.0,baseline,0.00€,0
78,78,1.0,baseline,3.50€,3
79,79,1.0,baseline,5€.,5
80,80,1.0,baseline,5€,5
81,81,1.0,baseline,5€,5
82,82,1.0,baseline,5€.,5
83,83,1.0,baseline,5€,5
84,84,1.0,baseline,5€,5
85,85,1.0,baseline,4.50€,4
86,86,1.0,baseline,5€.,5
87,87,1.0,baseline,6€,6
88,88,1.0,baseline,6€.,6
89,89,1.0,baseline,5€,5
90,90,1.0,baseline,5€,5
91,91,1.0,baseline,5€,5
92,92,1.0,baseline,7€,7
93,94,1.0,baseline,€5.,5
94,95,1.0,baseline,3€.,3
95,96,1.0,baseline,5€,5
96,97,1.0,baseline,4€,4
97,98,1.0,baseline,7€.,7
98,99,1.0,baseline,5€,5
99,100,1.0,baseline,5€.,5
100,101,1.0,baseline,5€.,5
101,102,1.0,baseline,4€,4
102,105,1.0,baseline,5€,5
103,106,1.0,baseline,5€.,5
104,107,1.0,baseline,5€.,5
105,108,1.0,baseline,4.00€,4
106,109,1.0,baseline,7.50€,7
107,110,1.0,baseline,0€,0
108,111,1.0,baseline,5€,5
109,112,1.0,baseline,5€,5
110,113,1.0,baseline,5€,5
111,114,1.0,baseline,5€,5
112,115,1.0,baseline,5€,5
113,116,1.0,baseline,6.,6
114,117,1.0,baseline,0€.,0
115,118,1.0,baseline,5€.,5
116,119,1.0,baseline,5€.,5
117,120,1.0,baseline,5€.,5
118,121,1.0,baseline,5€,5
119,122,1.0,baseline,€5,5
120,123,1.0,baseline,0.00€,0
121,124,1.0,baseline,0€,0
122,125,1.0,baseline,7€,7
123,126,1.0,baseline,3€,3
124,127,1.0,baseline,0€,0
125,128,1.0,baseline,5€,5
126,129,1.0,baseline,5€.,5
127,130,1.0,baseline,5€,5
128,131,1.0,baseline,0.,0
129,132,1.0,baseline,5€.,5
130,133,1.0,baseline,5€.,5
131,134,1.0,baseline,5€.,5
132,135,1.0,baseline,5€.,5
133,137,1.0,baseline,5€,5
134,138,1.0,baseline,5€.,5
135,139,1.0,baseline,5€.,5
136,140,1.0,baseline,5€,5
137,141,1.0,baseline,3€.,3
138,143,1.0,baseline,€7.50.,7
139,144,1.0,baseline,0.25€,0
140,145,1.0,baseline,5€,5
141,146,1.0,baseline,0€.,0
142,147,1.0,baseline,5€.,5
143,148,1.0,baseline,5€.,5
144,149,1.0,baseline,7.00€,7
145,150,1.0,baseline,5€.,5
146,151,1.0,baseline,5€,5
147,152,1.0,baseline,7€.,7
148,153,1.0,baseline,0.,0
149,154,1.0,baseline,5€.,5
150,155,1.0,baseline,7.50€,7
151,156,1.0,baseline,0€,0
152,157,1.0,baseline,0€,0
153,158,1.0,baseline,5€,5
154,159,1.0,baseline,0€,0
155,160,1.0,baseline,0€,0
156,161,1.0,baseline,4€,4
157,162,1.0,baseline,5€,5
158,163,1.0,baseline,€6.,6
159,164,1.0,baseline,6.00,6
160,165,1.0,baseline,6€.,6
161,166,1.0,baseline,5€,5
162,167,1.0,baseline,0€,0
163,169,1.0,baseline,3€.,3
164,170,1.0,baseline,5€.,5
165,171,1.0,baseline,5€.,5
166,172,1.0,baseline,3.50€,3
167,173,1.0,baseline,0€,0
168,174,1.0,baseline,4€.,4
169,175,1.0,baseline,0€,0
170,176,1.0,baseline,5€.,5
171,177,1.0,baseline,5€,5
172,178,1.0,baseline,4€,4
173,180,1.0,baseline,0€,0
174,181,1.0,baseline,4€,4
175,182,1.0,baseline,3€,3
176,183,1.0,baseline,4.99€,4
