iteration,attempt,temperature,prompt_type,response,allocation
1,1,1.0,change_order_swap,5€,5
2,2,1.0,change_order_swap,€7,7
3,3,1.0,change_order_swap,5€,5
4,4,1.0,change_order_swap,3€,3
5,5,1.0,change_order_swap,0€,0
6,6,1.0,change_order_swap,5€,5
7,7,1.0,change_order_swap,5€,5
8,8,1.0,change_order_swap,5€.,5
9,9,1.0,change_order_swap,0.50€,0
10,10,1.0,change_order_swap,5€,5
11,11,1.0,change_order_swap,5€,5
12,12,1.0,change_order_swap,0€,0
13,13,1.0,change_order_swap,0€,0
14,15,1.0,change_order_swap,5€.,5
15,16,1.0,change_order_swap,0€,0
16,17,1.0,change_order_swap,0€,0
17,18,1.0,change_order_swap,5€.,5
18,20,1.0,change_order_swap,4.90€,4
19,21,1.0,change_order_swap,5€.,5
20,22,1.0,change_order_swap,5€,5
21,23,1.0,change_order_swap,5€,5
22,25,1.0,change_order_swap,0.50€,0
23,26,1.0,change_order_swap,0€,0
24,27,1.0,change_order_swap,0€,0
25,28,1.0,change_order_swap,7€,7
26,29,1.0,change_order_swap,0.,0
27,30,1.0,change_order_swap,5€.,5
28,31,1.0,change_order_swap,5€,5
29,32,1.0,change_order_swap,6€,6
30,33,1.0,change_order_swap,5€,5
31,35,1.0,change_order_swap,5€,5
32,36,1.0,change_order_swap,5€.,5
33,37,1.0,change_order_swap,0€,0
34,39,1.0,change_order_swap,7.50€,7
35,41,1.0,change_order_swap,5€.,5
36,42,1.0,change_order_swap,5€.,5
37,43,1.0,change_order_swap,6€,6
38,44,1.0,change_order_swap,5€,5
39,45,1.0,change_order_swap,5€,5
40,47,1.0,change_order_swap,0€,0
41,48,1.0,change_order_swap,5€.,5
42,49,1.0,change_order_swap,€8,8
43,50,1.0,change_order_swap,5€.,5
44,51,1.0,change_order_swap,5€,5
45,52,1.0,change_order_swap,5€.,5
46,53,1.0,change_order_swap,5€,5
47,54,1.0,change_order_swap,5€.,5
48,55,1.0,change_order_swap,7€.,7
49,56,1.0,change_order_swap,5€,5
50,57,1.0,change_order_swap,5€.,5
51,58,1.0,change_order_swap,€5.,5
52,59,1.0,change_order_swap,6.,6
53,60,1.0,change_order_swap,6.,6
54,61,1.0,change_order_swap,7€,7
55,62,1.0,change_order_swap,5€,5
56,63,1.0,change_order_swap,0€,0
57,64,1.0,change_order_swap,7€,7
58,65,1.0,change_order_swap,5€,5
59,66,1.0,change_order_swap,5€,5
60,67,1.0,change_order_swap,5€,5
61,68,1.0,change_order_swap,5€,5
62,69,1.0,change_order_swap,7€.,7
63,70,1.0,change_order_swap,5€,5
64,71,1.0,change_order_swap,3.50€,3
65,72,1.0,change_order_swap,5€.,5
66,73,1.0,change_order_swap,5€,5
67,74,1.0,change_order_swap,5€.,5
68,75,1.0,change_order_swap,5€.,5
69,76,1.0,change_order_swap,5€.,5
70,77,1.0,change_order_swap,0€,0
71,78,1.0,change_order_swap,€5,5
72,79,1.0,change_order_swap,5€,5
73,80,1.0,change_order_swap,5€.,5
74,81,1.0,change_order_swap,7€,7
75,82,1.0,change_order_swap,5€.,5
76,83,1.0,change_order_swap,0€.,0
77,84,1.0,change_order_swap,7€.,7
78,85,1.0,change_order_swap,5€,5
79,86,1.0,change_order_swap,5€,5
80,87,1.0,change_order_swap,4€,4
81,88,1.0,change_order_swap,0€.,0
82,89,1.0,change_order_swap,€5.,5
83,90,1.0,change_order_swap,7€.,7
84,91,1.0,change_order_swap,5€,5
85,92,1.0,change_order_swap,4€,4
86,93,1.0,change_order_swap,5€.,5
87,94,1.0,change_order_swap,5€.,5
88,95,1.0,change_order_swap,0.01€,0
89,96,1.0,change_order_swap,0€,0
90,97,1.0,change_order_swap,5€.,5
91,98,1.0,change_order_swap,5€,5
92,99,1.0,change_order_swap,5€.,5
93,100,1.0,change_order_swap,5€,5
94,101,1.0,change_order_swap,5€.,5
95,102,1.0,change_order_swap,0€,0
96,103,1.0,change_order_swap,5€.,5
97,104,1.0,change_order_swap,€7,7
98,105,1.0,change_order_swap,5€,5
99,106,1.0,change_order_swap,5€.,5
100,107,1.0,change_order_swap,5€,5
101,108,1.0,change_order_swap,5€,5
102,109,1.0,change_order_swap,5€,5
103,110,1.0,change_order_swap,5€,5
104,111,1.0,change_order_swap,5€.,5
105,112,1.0,change_order_swap,5€,5
106,113,1.0,change_order_swap,3€,3
107,114,1.0,change_order_swap,5€,5
108,115,1.0,change_order_swap,5€,5
109,116,1.0,change_order_swap,5€.,5
110,117,1.0,change_order_swap,5€,5
111,118,1.0,change_order_swap,0€.,0
112,119,1.0,change_order_swap,0€,0
113,120,1.0,change_order_swap,5€,5
114,121,1.0,change_order_swap,5€,5
115,122,1.0,change_order_swap,5€,5
116,123,1.0,change_order_swap,€8.,8
117,124,1.0,change_order_swap,0€,0
118,125,1.0,change_order_swap,5€,5
119,126,1.0,change_order_swap,5€,5
120,127,1.0,change_order_swap,0€,0
121,128,1.0,change_order_swap,5€,5
122,129,1.0,change_order_swap,0€,0
123,130,1.0,change_order_swap,5€.,5
124,131,1.0,change_order_swap,6€,6
125,132,1.0,change_order_swap,5€,5
126,133,1.0,change_order_swap,0€,0
127,134,1.0,change_order_swap,5€,5
128,136,1.0,change_order_swap,5€.,5
129,137,1.0,change_order_swap,5€,5
130,138,1.0,change_order_swap,0€,0
131,139,1.0,change_order_swap,5€,5
132,140,1.0,change_order_swap,5€,5
133,142,1.0,change_order_swap,6.,6
134,143,1.0,change_order_swap,3€,3
135,144,1.0,change_order_swap,0€,0
136,145,1.0,change_order_swap,5€,5
137,146,1.0,change_order_swap,5€,5
138,147,1.0,change_order_swap,5€,5
139,148,1.0,change_order_swap,6.,6
140,149,1.0,change_order_swap,€5,5
141,150,1.0,change_order_swap,0€,0
142,151,1.0,change_order_swap,0€,0
143,152,1.0,change_order_swap,5€.,5
144,153,1.0,change_order_swap,5€,5
145,154,1.0,change_order_swap,€7.50,7
146,155,1.0,change_order_swap,€5.,5
147,156,1.0,change_order_swap,5€.,5
148,157,1.0,change_order_swap,5€,5
149,158,1.0,change_order_swap,6€,6
150,159,1.0,change_order_swap,5€,5
151,160,1.0,change_order_swap,5€,5
152,161,1.0,change_order_swap,0€,0
153,162,1.0,change_order_swap,5€,5
154,163,1.0,change_order_swap,5€.,5
155,164,1.0,change_order_swap,6€,6
156,165,1.0,change_order_swap,4€.,4
157,166,1.0,change_order_swap,3€,3
158,167,1.0,change_order_swap,5€.,5
159,168,1.0,change_order_swap,5€.,5
160,169,1.0,change_order_swap,3€,3
161,170,1.0,change_order_swap,5€,5
162,171,1.0,change_order_swap,5€,5
163,172,1.0,change_order_swap,4€,4
164,173,1.0,change_order_swap,3€,3
165,174,1.0,change_order_swap,0.,0
166,175,1.0,change_order_swap,5€,5
167,176,1.0,change_order_swap,5€,5
168,177,1.0,change_order_swap,0.70€,0
169,178,1.0,change_order_swap,5€,5
170,179,1.0,change_order_swap,5€,5
171,180,1.0,change_order_swap,0€,0
172,181,1.0,change_order_swap,5€,5
173,182,1.0,change_order_swap,5€,5
174,183,1.0,change_order_swap,5€,5
175,184,1.0,change_order_swap,6€,6
176,185,1.0,change_order_swap,3€.,3
177,186,1.0,change_order_swap,5€,5
178,187,1.0,change_order_swap,5€,5
179,188,1.0,change_order_swap,5€.,5
180,189,1.0,change_order_swap,5€,5
181,190,1.0,change_order_swap,5€,5
182,191,1.0,change_order_swap,0€,0
183,192,1.0,change_order_swap,6€,6
184,193,1.0,change_order_swap,5€,5
185,194,1.0,change_order_swap,€8,8
186,195,1.0,change_order_swap,5€.,5
187,196,1.0,change_order_swap,5€.,5
188,197,1.0,change_order_swap,5€,5
189,198,1.0,change_order_swap,5€,5
190,199,1.0,change_order_swap,5€,5
191,200,1.0,change_order_swap,€5,5
192,201,1.0,change_order_swap,€5,5
193,202,1.0,change_order_swap,5€,5
194,203,1.0,change_order_swap,6€,6
195,204,1.0,change_order_swap,5€,5
196,205,1.0,change_order_swap,5€,5
197,206,1.0,change_order_swap,5€.,5
198,207,1.0,change_order_swap,6€.,6
199,208,1.0,change_order_swap,5€,5
200,209,1.0,change_order_swap,5€,5
201,210,1.0,change_order_swap,5€,5
202,211,1.0,change_order_swap,5€.,5
203,212,1.0,change_order_swap,€7.50.,7
204,213,1.0,change_order_swap,6€,6
205,214,1.0,change_order_swap,5€.,5
206,215,1.0,change_order_swap,7€,7
207,216,1.0,change_order_swap,0€,0
208,217,1.0,change_order_swap,5€,5
209,218,1.0,change_order_swap,5€.,5
210,219,1.0,change_order_swap,5€.,5
211,220,1.0,change_order_swap,7€.,7
212,221,1.0,change_order_swap,0€,0
213,222,1.0,change_order_swap,6.,6
214,223,1.0,change_order_swap,7.,7
215,224,1.0,change_order_swap,€8,8
216,225,1.0,change_order_swap,€8.33,8
217,226,1.0,change_order_swap,5€.,5
218,227,1.0,change_order_swap,5€,5
219,228,1.0,change_order_swap,7.50€,7
220,229,1.0,change_order_swap,5€,5
221,230,1.0,change_order_swap,7€.,7
222,231,1.0,change_order_swap,5€,5
223,232,1.0,change_order_swap,7€.,7
224,233,1.0,change_order_swap,5€.,5
225,234,1.0,change_order_swap,5€,5
226,235,1.0,change_order_swap,5€,5
227,236,1.0,change_order_swap,5€,5
228,237,1.0,change_order_swap,5€,5
229,238,1.0,change_order_swap,5€,5
230,239,1.0,change_order_swap,€5,5
231,240,1.0,change_order_swap,5€,5
232,241,1.0,change_order_swap,0€,0
233,242,1.0,change_order_swap,5€.,5
234,243,1.0,change_order_swap,5€,5
235,244,1.0,change_order_swap,3€.,3
