iteration,attempt,temperature,prompt_type,response,allocation
1,1,1.0,change_order_swap,5€,5
2,2,1.0,change_order_swap,5€,5
3,3,1.0,change_order_swap,5€,5
4,4,1.0,change_order_swap,5€,5
5,5,1.0,change_order_swap,5€,5
6,6,1.0,change_order_swap,5€,5
7,7,1.0,change_order_swap,5€,5
8,8,1.0,change_order_swap,5€,5
9,9,1.0,change_order_swap,5€,5
10,10,1.0,change_order_swap,5€,5
11,11,1.0,change_order_swap,5€,5
12,12,1.0,change_order_swap,5€,5
13,13,1.0,change_order_swap,5€,5
14,14,1.0,change_order_swap,5€,5
15,15,1.0,change_order_swap,5€,5
16,16,1.0,change_order_swap,5€,5
17,17,1.0,change_order_swap,5€,5
18,18,1.0,change_order_swap,5€,5
19,19,1.0,change_order_swap,5€,5
20,20,1.0,change_order_swap,5€,5
21,21,1.0,change_order_swap,5€,5
22,22,1.0,change_order_swap,5€,5
23,23,1.0,change_order_swap,5€,5
24,24,1.0,change_order_swap,5€,5
25,25,1.0,change_order_swap,5€,5
26,26,1.0,change_order_swap,5€,5
27,27,1.0,change_order_swap,5€,5
28,28,1.0,change_order_swap,5€,5
29,29,1.0,change_order_swap,5€,5
30,30,1.0,change_order_swap,5€,5
31,31,1.0,change_order_swap,5€,5
32,32,1.0,change_order_swap,5€,5
33,33,1.0,change_order_swap,5€,5
34,34,1.0,change_order_swap,5€,5
35,35,1.0,change_order_swap,5€,5
36,36,1.0,change_order_swap,5€,5
37,37,1.0,change_order_swap,5€,5
38,38,1.0,change_order_swap,5€,5
39,39,1.0,change_order_swap,5€,5
40,40,1.0,change_order_swap,5€,5
41,41,1.0,change_order_swap,5€,5
42,42,1.0,change_order_swap,5€,5
43,43,1.0,change_order_swap,5€,5
44,44,1.0,change_order_swap,5€,5
45,45,1.0,change_order_swap,5€,5
46,46,1.0,change_order_swap,5€,5
47,47,1.0,change_order_swap,5€,5
48,48,1.0,change_order_swap,5€,5
49,49,1.0,change_order_swap,5€,5
50,50,1.0,change_order_swap,5€,5
51,51,1.0,change_order_swap,5€,5
52,52,1.0,change_order_swap,5€,5
53,53,1.0,change_order_swap,5€,5
54,54,1.0,change_order_swap,5€,5
55,55,1.0,change_order_swap,5€,5
56,56,1.0,change_order_swap,5€,5
57,57,1.0,change_order_swap,5€,5
58,58,1.0,change_order_swap,5€,5
59,59,1.0,change_order_swap,5€,5
60,60,1.0,change_order_swap,5€,5
61,61,1.0,change_order_swap,5€,5
62,62,1.0,change_order_swap,5€,5
63,63,1.0,change_order_swap,5€,5
64,64,1.0,change_order_swap,5€,5
65,65,1.0,change_order_swap,5€,5
66,66,1.0,change_order_swap,5€,5
67,67,1.0,change_order_swap,5€,5
68,68,1.0,change_order_swap,5€,5
69,69,1.0,change_order_swap,5€,5
70,70,1.0,change_order_swap,5€,5
71,71,1.0,change_order_swap,5€,5
72,72,1.0,change_order_swap,5€,5
73,73,1.0,change_order_swap,5€,5
74,74,1.0,change_order_swap,5€,5
75,75,1.0,change_order_swap,5€,5
76,76,1.0,change_order_swap,5€,5
77,77,1.0,change_order_swap,5€,5
78,78,1.0,change_order_swap,5€,5
79,79,1.0,change_order_swap,5€,5
80,80,1.0,change_order_swap,5€,5
81,81,1.0,change_order_swap,5€,5
82,82,1.0,change_order_swap,5€,5
83,83,1.0,change_order_swap,5€,5
84,84,1.0,change_order_swap,5€,5
85,85,1.0,change_order_swap,5€,5
86,86,1.0,change_order_swap,5€,5
87,87,1.0,change_order_swap,5€,5
88,88,1.0,change_order_swap,5€,5
89,89,1.0,change_order_swap,5€,5
90,90,1.0,change_order_swap,5€,5
91,91,1.0,change_order_swap,5€,5
92,92,1.0,change_order_swap,5€,5
93,93,1.0,change_order_swap,5€,5
94,94,1.0,change_order_swap,5€,5
95,95,1.0,change_order_swap,5€,5
96,96,1.0,change_order_swap,5€,5
97,97,1.0,change_order_swap,5€,5
98,98,1.0,change_order_swap,5€,5
99,99,1.0,change_order_swap,5€,5
100,100,1.0,change_order_swap,5€,5
101,101,1.0,change_order_swap,5€,5
102,102,1.0,change_order_swap,5€,5
103,103,1.0,change_order_swap,5€,5
104,104,1.0,change_order_swap,5€,5
105,105,1.0,change_order_swap,5€,5
106,106,1.0,change_order_swap,5€,5
107,107,1.0,change_order_swap,5€,5
108,108,1.0,change_order_swap,5€,5
109,109,1.0,change_order_swap,5€,5
110,110,1.0,change_order_swap,5€,5
111,111,1.0,change_order_swap,5€,5
112,112,1.0,change_order_swap,5€,5
