proposer_name,responder_name,proposer_race,responder_race,offer,prompt_type,proposer_keeps,logit_accept,logit_reject,p(accept),p(reject),z_coverage,choice
Mr. Medina,Mr. Littlewhiteman,Hispanic,Native,0,baseline,10,24.25,29.0,0.008579599618684462,0.9914204003813155,2.293381839990616e-08,reject
Mr. Orozco,Ms. Brandt,Hispanic,White,0,baseline,10,30.125,38.5,0.000234915825648912,0.9997650841743511,0.00020313262939453125,reject
Ms. Robles,Mr. Chasinghawk,Hispanic,Native,0,baseline,10,34.25,30.0,0.9858889934148636,0.014111006585136407,1.548323780298233e-08,accept
Ms. Sharma,Mr. Traore,Asian,Black,0,baseline,10,28.875,32.5,0.0258751902587519,0.974124809741248,1.909211277961731e-07,reject
Ms. Contreras,Mr. Owen,Hispanic,White,0,baseline,10,30.375,34.25,0.020299500831946756,0.9797004991680532,3.282912075519562e-08,reject
Ms. Spottedhorse,Ms. Han,Native,Asian,0,baseline,10,30.5,38.25,0.00042911003888195545,0.9995708899611181,4.4405460357666016e-06,reject
Ms. Chu,Ms. Blackhorse,Asian,Native,0,baseline,10,27.375,33.75,0.0017158009670878178,0.9982841990329122,2.2351741790771484e-06,reject
Mr. Desir,Mr. Haskie,Black,Native,0,baseline,10,25.375,31.375,0.0024678529679179116,0.997532147032082,1.0477378964424133e-08,reject
Ms. Ndiaye,Ms. Torres,Black,Hispanic,0,baseline,10,32.5,39.25,0.0011901672498187902,0.9988098327501812,1.2993812561035156e-05,reject
Mr. Decker,Ms. Rojas,White,Hispanic,0,baseline,10,29.75,37.0,0.0007278893608171558,0.9992721106391829,5.817413330078125e-05,reject
Mr. Cheung,Ms. Johnston,Asian,White,0,baseline,10,28.0,35.5,0.0005613227972662434,0.9994386772027337,0.00020313262939453125,reject
Ms. Robles,Ms. Louissaint,Hispanic,Black,0,baseline,10,29.5,36.0,0.001525924894103345,0.9984740751058967,2.868473529815674e-07,reject
