proposer_name,responder_name,proposer_race,responder_race
Mr. Medina,Mr. Littlewhiteman,Hispanic,Native
Mr. Orozco,Ms. Brandt,Hispanic,White
Ms. Robles,Mr. Chasinghawk,Hispanic,Native
Ms. Sharma,Mr. Traore,Asian,Black
Ms. Contreras,Mr. Owen,Hispanic,White
Ms. Spottedhorse,Ms. Han,Native,Asian
Ms. Chu,Ms. Blackhorse,Asian,Native
Mr. Desir,Mr. Haskie,Black,Native
Ms. Ndiaye,Ms. Torres,Black,Hispanic
Mr. Decker,Ms. Rojas,White,Hispanic
Mr. Cheung,Ms. Johnston,Asian,White
Ms. Robles,Ms. Louissaint,Hispanic,Black
Mr. Ravenell,Ms. Peck,Black,White
Ms. Ayze,Ms. Han,Native,Asian
Ms. Jensen,Mr. Oconnor,White,White
Ms. Jain,Mr. Mccarthy,Asian,White
Ms. Molina,Ms. Manigault,Hispanic,Black
Mr. Appiah,Mr. Keyonnie,Black,Native
Ms. Figueroa,Ms. Stfleur,Hispanic,Black
Mr. Moyer,Mr. Rasmussen,White,White
Ms. Huber,Ms. Brandt,White,White
Ms. Gao,Mr. Yoo,Asian,Asian
Mr. Shah,Ms. Dominguez,Asian,Hispanic
Ms. Mekonnen,Mr. Appiah,Black,Black
Ms. Cho,Ms. Lesane,Asian,Black
Ms. Dayzie,Mr. Traore,Native,Black
Ms. Castillo,Mr. Diop,Hispanic,Black
Mr. Santana,Ms. Guerrero,Hispanic,Hispanic
Ms. Sesay,Ms. Duffy,Black,White
Ms. Phan,Mr. Blackgoat,Asian,Native
Ms. Wolf,Ms. Le,White,Asian
Ms. Desta,Ms. Petersen,Black,White
Mr. Okafor,Mr. Petersen,Black,White
Mr. Vargas,Ms. Saintil,Hispanic,Black
Mr. Bekele,Mr. Littlelight,Black,Native
Mr. Li,Mr. Altaha,Asian,Native
Mr. Bui,Mr. Molina,Asian,Hispanic
Mr. Shije,Mr. Salazar,Native,Hispanic
Ms. Goldtooth,Mr. Donovan,Native,White
Ms. Moua,Ms. Chowdhury,Asian,Asian
Ms. Dorvil,Mr. Keller,Black,White
Ms. Fischer,Mr. Vu,White,Asian
Ms. Peck,Mr. Chery,White,Black
Ms. Kline,Ms. Edouard,White,Black
Ms. Weber,Mr. Roanhorse,White,Native
Mr. Yohannes,Ms. Delgarito,Black,Native
Ms. Padilla,Mr. Stfleur,Hispanic,Black
Mr. Wassillie,Ms. Manigault,Native,Black
Mr. Ayala,Mr. Stark,Hispanic,White
Ms. Maldonado,Mr. Warsame,Hispanic,Black
Mr. Martinez,Mr. Spottedhorse,Hispanic,Native
Ms. Dorvil,Mr. Torres,Black,Hispanic
Mr. Birdinground,Mr. Fluellen,Native,Black
Ms. Yeboah,Mr. Goldtooth,Black,Native
Ms. Munoz,Ms. Chasinghawk,Hispanic,Native
Mr. Sandoval,Mr. Bitsuie,Hispanic,Native
Mr. Nunez,Ms. Fry,Hispanic,White
Mr. Yoder,Ms. Johnston,White,White
Mr. Trinh,Ms. Ortega,Asian,Hispanic
Ms. Vu,Mr. Abebe,Asian,Black
Mr. Hess,Ms. Salinas,White,Hispanic
Ms. Chu,Ms. Lo,Asian,Asian
Ms. Mccarthy,Ms. Ng,White,Asian
Mr. Meza,Mr. Saintlouis,Hispanic,Black
Mr. Campos,Ms. Sharma,Hispanic,Asian
Mr. Runningcrane,Ms. Friedman,Native,White
Mr. Escobar,Ms. Petersen,Hispanic,White
Ms. Yoder,Mr. Maldonado,White,Hispanic
Mr. Smallcanyon,Mr. Clitso,Native,Native
Ms. Marquez,Mr. Ganadonegro,Hispanic,Native
Ms. Desir,Mr. Lin,Black,Asian
Ms. Gomez,Mr. Apachito,Hispanic,Native
Mr. Wauneka,Ms. Lawal,Native,Black
Mr. Ramirez,Ms. Dorvil,Hispanic,Black
Mr. Cao,Ms. Trevino,Asian,Hispanic
Ms. Bitsilly,Mr. Soto,Native,Hispanic
Mr. Hoffman,Ms. Dong,White,Asian
Mr. Ayze,Ms. Torres,Native,Hispanic
Mr. Apachito,Ms. Calixte,Native,Black
Mr. Blackgoat,Ms. Talayumptewa,Native,Native
Ms. Birdinground,Ms. Donovan,Native,White
Ms. Oconnor,Mr. Benallie,White,Native
Mr. Stark,Mr. Molina,White,Hispanic
Ms. Sesay,Mr. Beyale,Black,Native
Ms. Keita,Mr. Ho,Black,Asian
Ms. Keams,Ms. Stein,Native,White
Mr. Apachito,Mr. Dinh,Native,Asian
Ms. Dinh,Mr. Prioleau,Asian,Black
Ms. Laughing,Ms. Lara,Native,Hispanic
Ms. Dominguez,Mr. Yoon,Hispanic,Asian
Mr. Tsinnijinnie,Mr. Louissaint,Native,Black
Ms. Weiss,Mr. Littlelight,White,Native
Mr. Yoder,Ms. Maldonado,White,Hispanic
Mr. Tadesse,Mr. Fry,Black,White
Ms. Bah,Ms. Ahasteen,Black,Native
Ms. Appiah,Mr. Desir,Black,Black
Ms. Rasmussen,Mr. Whitehat,White,Native
Mr. Straughter,Ms. Lawal,Black,Black
Mr. Todacheene,Mr. Bui,Native,Asian
Mr. Mensah,Ms. Lawal,Black,Black
Mr. Gao,Ms. Vega,Asian,Hispanic
Mr. Lesane,Ms. Bullbear,Black,Native
Ms. Cho,Mr. Whiteplume,Asian,Native
Ms. Cho,Mr. Lesane,Asian,Black
Ms. Barrera,Ms. Blackgoat,Hispanic,Native
Mr. Dorvil,Mr. Torres,Black,Hispanic
Ms. Stfleur,Ms. Arcoren,Black,Native
